Stars;Reviews
1.0;Pantalla táctil que no responde. ¡Me puse en contacto con el vendedor y quieren que lo devuelva, a mi cargo, a Alemania! No, lo devolveré a Amazon. Después de comprar su UWatch 3 para mí, lo cual es bueno, lo compré como regalo para alguien. Muy decepcionante.
1.0;Este reloj dejó de contar mis pasos después de 2 meses, el número de pasos permanecerá estacionario eventualmente.
1.0;Después de dos semanas ya no se conecta a su celular, los pasos no son reales (te cuenta aunque levantes el brazo sentado). Beats no recibidos. ¡Solo estéticamente agradable!
1.0;El reloj me dejó de cargar mandé a Amazon la reclamación y aún estoy a la espera de respuesta el reloj solo tiene 3 meses así que no lo puedo recomendar
1.0;Deja de funcionar a la semana de recibirlo.App desinstalada e instalada y sigue sin funcionar.
1.0;Partiendo de la base de que no me creo tanta reseñas positivas frente al aparato que me han enviado.1º si me aparece para ejercitar natación ¿porque el fabricante dice que no se puede mojar?2º la batería no dura tanto como dicen.3º el táctil es pésimo llegando a ser casi imposible manejar el reloj como sale en mi vídeo.4º el reloj se reinicia solo y cambia de pantalla también solo como si alguien que no fuera yo lo manejara.Finalmente muy descontento y en trámite para que me devuelvan el dinero .
1.0;Impossible vincular
1.0;Hola, lamentablemente hoy el Smart Watch ya no funciona, se apagó y aún cargado no da señales de vida. ¿Qué tengo que hacer? Gracias
1.0;todo fue estupendo en principio pero creo la batteria es baja en calidad tengo que carge con mas frecuencia cada semana.ya solo dura un dia sin luz automático. ya no dura ni una a noche ahora tengo que compra un repuesto de otra marca no tenido ninguna repusta de la vendedora
1.0;Difícil de usar
1.0;Mal producto... Medidas equivocadas y después de ni 6 meses ya no enciende. decepción total
1.0;El reloj esta bien pero solo le a durado un mes, no ay opcion a contactar con el vendedor para pedir asistencia por garantia.Una lastima
1.0;Cuidado, no admite devolución, falla en la sincronización con el telf, no llega a los mínimos de otros igual de básicos
1.0;No me gusta nada ya no funciona
1.0;No registra su sueño de ejercicio, etc. No me impresionó en absoluto, duró una semana y luego lo volvió a colocar en su caja.
1.0;Producto inútil. La mensajería no funciona. Vergonzoso.
1.0;No me gusta mucha, la presencia es buena pero los pasos los comprobé teniendo otro modelo y marca menos de los reales,.la batería dura muy poco dos días, tres como mucho
1.0;No es compatible la app con iphone
1.0;Éste reloj tenía muy buena pinta pero infelizmente venía con la pantalla rota.
1.0;Se usó durante aproximadamente una semana y parecía estar bien, pero hoy los contactos de metal en la parte posterior se calentaron mucho mientras lo usaba (solo en la casa, no se mojó ni nada) y casi me quemo la muñeca. Una vez que me lo quité, todo continuó calentándose mucho durante unos minutos antes de finalmente detenerse y enfriarse nuevamente. Ahora no se vuelve a encender
1.0;Horrible, no funciona y no lo devolverán ni lo reemplazarán.
1.0;muy mala experiencia
1.0;Llegó a tiempo, desde el punto de vista estético, dentro de lo esperado pero, desde el punto de vista funcional, una verdadera decepción: la pantalla es ilegible a la luz del sol pero sobre todo pierde la conexión continuamente, habría que devolverla
1.0;No es un profesional del agua en absoluto, aunque dice que puedes nadar con él, el reloj ahora está roto hasta ese punto, fue perfecto. Genial, pero lamentablemente no funciona, ya que solo debería tener dos semanas, las pantallas ahora están borrosas y la pantalla táctil no está haciendo lo que debería y se apaga y puntos aleatorios
1.0;No lo se porque a las 2 horas no funcionaba la esfera táctil
1.0;LAS INSTRUCCIONES DEBERIAN SER MAS PRECISAS, CAMBIO DE TIPO DE PANTALLA, ETC
1.0;No me queda muy claro por qué esa chatarra electrónica no se elimina de la gama de Amazon Sobre el tema: El primer reloj: Vibración defectuosa, batería completamente descargada, solo duró un día. Visualización de la hora en que no funcionó la elevación del brazo. Reloj devuelto y pedido nuevo... El segundo reloj: La vibración funciona, la hora también se muestra cuando levantas el brazo. Sin embargo, el Bluetooth solo funcionó esporádicamente en este reloj, por lo que ni los mensajes ni las llamadas se mostraban de manera confiable. La batería del segundo reloj ya estaba completamente descargada cuando se entregó. Lo único positivo: el receptor GPS. Iniciar sesión increíblemente rápido, casi inmediatamente, y la precisión de la medición es realmente buena e impresionante. Desafortunadamente, la aplicación es tan mala que no puede exportar los datos. Conclusión: un reloj con potencial, pero no utilizable en su estado actual...
1.0;Segunda vez que he de reclamar. El reloj no carga. Tienen un problema. Me lo cambiaron y de nuevo el mismo problema.
1.0;A los pocos días del primer uso se apagó y no ha vuelto a encender. Procedí a regresar No recomendado
1.0;El reloj no puede recibir mensajes de la aplicación Whatsapp, pese a que en la publicación dice que si. Lo he consultado con el vendedor y me ha confirmado que no funciona con esa aplicación, por lo cual he tenido que devolver el producto.
1.0;Mala experiencia... la pantalla táctil no funciona bien, las funciones deportivas son menores a las declaradas y los sensores de salud no son nada consistentes. No realiza un seguimiento de los resultados. 4 fondos ridículos. La correa está tapada. Lástima porque era ligero y estéticamente agradable. Vendedor arrogante. Solicitó la devolución a Amazon.
1.0;Dejó de funcionar de la noche a la mañana...
1.0;Muy bien la primera semana. Luego aparecieron rallas en la pantalla y lo devolví
1.0;No es caro, pero completamente inútil excepto quizás por la hora. Con cada movimiento de manijas, uno marca un paso... Y la tensión es la misma para cada persona que lo prueba. En resumen, es un artilugio inútil.
1.0;Se rompió después de tres semanas.
1.0;Mis dos hijos recibieron este reloj en Navidad y menos de 6 meses después, ambos ya no funcionan. Uno está totalmente fuera de servicio y el otro solo te da el tiempo y los pasos y no funciona ninguna otra función. Muy decepcionante.
1.0;Comprado el 1 a partir de diciembre, algunas funciones no funcionaban, así que lo devolvió y compró otro. El más reciente dejó de cargarse después de 1 mes. Defectuoso y no durará. No se puede volver. No compre.
1.0;El reloj hace bien sus funciones pero empezó a dar problemas al poco tiempo, el vendedor me ha proporcionado otro nuevo, espero que salga mejor que el anterior
1.0;En 1 mes se me estropeó , y reclame , y aún estoy esperando que me contesten !! Cada día es peor el servicio técnico !!! 🤦🏻‍♀️
1.0;¡infectado! dedos quemados. ¡Mira derretido! ¡Creo que es una mierda! ¡No recomendable!
1.0;Me encantó este reloj por las 10 horas que realmente funcionó. Luego comenzó a desvincularse constantemente de mi teléfono y, cuando eso sucede, vuelve a su configuración de fábrica, por lo que tendría que configurarlo de nuevo. También se apagará aleatoriamente durante horas y luego se volverá a encender aleatoriamente, una vez más, a la configuración original de fábrica.
1.0;No funciona correctamente No graba nada
1.0;Es un reloj que no vale para nada
1.0;El reloj dejo de funcionar la semana pasada
1.0;No me a gustado se desconecta siempre no me manda ni sms ni guasa ni nada,, y e echo lo meQue me decía lasUstruciones, paso por paso
1.0;No puedo conectar el reloj con mi teléfono. He probado con varios otros teléfonos pero no funciona.
1.0;Actualización después de 3 meses: Mala compra. El boton fisico empezo a no funcionar, despues de unos 10 dias la pantalla tactil ya ni funciona y por lo tanto esta inservible. Contacte a Umidigi, salen sin ni siquiera pedir opinion con un 50% de reembolso. Quiero un reemplazo o el reembolso completo del gasto y si quieren esta basura también pueden retirarla.Revisión anterior.Tomé el primero en una pequeña oferta, inmediatamente lo encontré muy agradable y funcional, todas las funciones son excelentes y precisas: corazón frecuencia, saturación y hasta presión arterial. Lo devolví porque al activar la pantalla noté un molesto retraso en el uso del touch. Cogí otro con una super oferta y en cuanto llegó probé inmediatamente el touch que parecía responder correctamente .Un analisis mas cuidadoso me hizo darme cuenta que el problema persiste y ocurre solo con el reloj analogico mientras que con los demas todo funciona bien por lo que creo que es un problema de software lo cual confío se puede corregir con el nuevo firmware. Hablando de software, veryfitpro funciona bastante bien, pero creo que Umidigi podría crear su propia aplicación. En conclusión, sigue siendo un buen producto, agradable, ligero y funcional.
1.0;Por el dinero gastado, esperaba algo mucho mejor que un producto mal fabricado en China.
1.0;No gustó nada, dificultad para conectarse con el teléfono, y todo está escrito en chino. devuelvo el producto.
1.0;A los 5 días dejo de contar pasos y en opción caminar tampoco los cuenta.
1.0;Comprado para mi marido para Navidad. El cargador no es magnético, por lo que no sujeta el reloj como nuestros Fitbits. El reloj no tiene carga, por lo que necesita recargarse mucho más que un Fitbit.
1.0;La pantalla, después de menos de un mes, ya no funciona, sin razón aparente
1.0;Como mi modelo anterior se rompió, pedí este reloj. Volvió el mismo día. No se estableció la conexión, el software se retrasa y es totalmente confuso, volví al otro modelo.
1.0;Muy mal de batería
1.0;La duración de la batería es basura...
1.0;No enlaza bien con mi teléfono, los contactos no me deja agregarlos y el bluetooth falla continuamente
1.0;La pantalla no se ve a la luz del sol no tiene suficiente contraste y la correa se ensucia y está ennegrecida en menos 1 mes.
1.0;Producto de baja calidad. La esfera del reloj no puede permanecer iluminada. No se perciben vibraciones de notificación. Menú muy pobre. Aplicación dedicada con pocas configuraciones y funciones.
1.0;No se puede cambiar la hora en él
1.0;El reloj en sí parece estar bien. Sin embargo, no es posible iniciar sesión en la aplicación. Sin embargo, dado que esta es la única forma de configurar la hora, etc. y, por lo tanto, se puede usar si se conecta a la aplicación, este reloj no se puede usar. Estoy muy molesto. Deberías invertir unos euros más, pero luego tienes al menos uno que también te sirve.
1.0;Por supuesto por lo que pagué no esperaba mucho en cualquier caso a precio completo (sin amazon day) todavía cuesta 50,00 euros que no es barato. Muy mal. Intentamos instalarlo, funcionó en el teléfono, mientras que el reloj fallaba por completo con la aplicación de Word y no había forma de hacerlo funcionar. Inmediatamente pidió un reembolso. Veo que no fui el único.... No lo recomiendo.
1.0;Después de un primer uso en la piscina ni 2 minutos ya no funciona 😡
1.0;Lo hemos tenido que devolver A la semana de tenerlo porque la pantalla se veía mal, con muchas rayas en la imagen, sin haberlo mojado y sin llevarse ningún golpe. Un día se veía mal, al momento volvió a estar bien y al rato otra vez mal. Lo devolvimos y estamos a la espera del reembolso.
1.0;No emparejaría pasó por todos los puntos de solución de problemas, simplemente no se emparejará con el teléfono Apple, así que si tiene Apple, ahorre su dinero
1.0;Devuelto como defectuoso
1.0;Después del primer entrenamiento se estropeó, tuve que devolverlo.
1.0;Después de 2 horas de espectáculos de piscina fuera de servicio
1.0;No funcionó enviado de vuelta ... obtuve un reembolso
1.0;Usado todos los días desde principios de junio y ya no funciona... La pantalla tiene líneas y es ilegible. Gran decepción. No lo recomiendo en absoluto.
1.0;Nada
1.0;Estaba tan contento que 2 días después no leyó mis pasos
1.0;Comenzó muy bien, pero con el tiempo notó marcas y quemaduras en la piel. No lo recomendaría.
1.0;Cuando instale l'app para el reloj no había manera de emparejarlo con el movil, después de varios intentos finamente conseguí emparejarlo. La bateria se gasta ràpidamente y cuando esta cargado se desincroniza del mòbil. Vibraba de forma continuada como si me llegaran notificaciones que en realidad no llegaba nada. Lo he tenido que devolver.
1.0;El reloj dejo de funcionar despues de 3 dias. la pantalla no se enciende en absoluto a pesar de la carga.
1.0;El reloj dejó de funcionar después de menos de un mes, después de ir a la piscina (2/3 veces por semana), a pesar de que el folleto y las instrucciones del vendedor decían claramente que era perfectamente apto para nadar (razón por la cual se compró). En los primeros informes de falla, el vendedor trató de ser evasivo diciendo que el reloj quizás no era adecuado para usar en la piscina, y cuando reiteró que en el sitio sí se anunciaba como apto para nadar, con fotos adjuntas. , siguió siendo un poco inteligente, proponiendo reembolsar solo el 80% del costo de compra. Ante mi insistencia, continuó por el mismo camino, escribiendo que debido a las políticas de Amazon, más del 80% de ellos no podían reembolsar, y en todo caso, contactar al servicio dedicado de Amazon.Al final, insistiendo (varios intercambios de correo electrónico), Conseguí que Amazon me reembolsara (¡Gran AMAZON!!!), y con el reembolso compré un producto similar, esta vez vendido directamente por Amazon.
1.0;La banda está causando sarpullido y ampollas. No se puede usar después de la primera semana. Después de quitarme el reloj durante dos semanas, todavía está sanando. Ya no podemos usar los relojes debido a las quemaduras en nuestras muñecas. Nunca compre este producto si se preocupa por su salud.
1.0;Hola, me gustaría devolver este reloj, no puedes registrarte para configurar el reloj con precisión, incluso una tienda especializada no puede hacerlo, la batería dura solo 4 días, no se puede usar algo así, ¿serías así? amable y envíeme una dirección a la que pueda enviarle el reloj. Atentamente
1.0;Nada más caer al suelo cuando se lo estaba poniendo mi hijo, se le quebró el cristal y no funciona. Así que lo de indestructible no. Muy frágil deberían de poner. Un fracaso de regalo a mi hijo
1.0;La pantalla solo se usa parcialmente, por lo que la pantalla es muy pequeña.
1.0;Felicidades a amazon por enviar y devolver a tiempo. En cuanto al reloj inteligente, no encendía y tuve que elegir otro producto.
1.0;Voy a solicitar la devolución del producto, el reloj no funciona bien, se desvincula del movil automáticamente a los pocos minutos de vincularlo, lo he probado con varios móviles, con sistema android y con sistema IOS y no hay maneja de que se quede vinculado, se desvincula derrepente y ya no me avisa de llamadas, mensajes ni de nada...
1.0;Después de 2 meses ya no carga.
1.0;Continuamente pierde la conexión con el celular y para volver a conectarlo hay un largo trámite que no siempre se logra a la primera
1.0;"Después de casi un mes de uso devolveré este inservible gadget, entiendo que es un producto de gama baja, sin embargo, empezando por la app paiactive que lo gestiona, adjunto capturas de pantalla de Google Play Store, una inutilidad, no perder el tiempo; el GPS pierde fácilmente el satélite, incluso un paso subterráneo trivial y corto es suficiente, hay alternativas con aplicaciones de mayor rendimiento sin pagar sumas locas."
1.0;E comprado dos veces este mismo reloj y en los dos a pasado lo mismo . Se apagó ya no encendió más .
1.0;Me llegó ayer y lo voy a devolver. Instrucciones necesitas una lupa para leerlas, no te explica como poner el tel en español. Y no hay manera que se conecte al movil.Pantalla muy sencilla pocas opciones de cambio.Positivo tiene muchas opciones pero no te puedes alejar del movil.
1.0;Compré este 22 de marzo de 2022 y fue entregado y probado rápidamente. Buena pinta, eso sí. Pero no leyó correctamente la frecuencia cardíaca, por lo que se devolvió rápidamente. El dinero salió de mi cuenta más rápido de lo esperado, justo después de que lo devolví. Al mismo tiempo, se identificó un fraude por una suma de dinero muy cercana al precio del reloj, más un impuesto por cambio de divisas, de Irlanda. Mi tarjeta de crédito tuvo que ser reemplazada. El reembolso de Amazon se retrasó debido a la nueva configuración de la tarjeta. . Pero no hay quejas allí. El banco y el escuadrón de fraude estaban atentos, y se espera el reembolso muy pronto.
1.0;Cuesta emparejado,la aplicación es pésima,lo.compre en septiembre y ahora en noviembre deja de funcionar
1.0;Compré esto para el noveno cumpleaños de mi hijo y en una semana más o menos la correa se cedió y salió el enlace. Ahora no puede usarlo. Me puse en contacto con el proveedor que se negó a enviarnos una correa nueva. Bastante decepcionado con el servicio. Ahora mi hijo tiene un reloj que simplemente no puede usar
1.0;Después de 4 días de uso, la pantalla dejó de funcionar.
1.0;En mi opinión, un reloj inteligente solo tiene una tarea importante: conectarse al teléfono inteligente a través de Bluetooth. Bueno, este reloj no lo hace. Intenté varias veces. La conexión inicialmente dura unos 15 minutos, pero luego los dispositivos ya no se pueden emparejar entre sí. ¡COMPRA ABSOLUTAMENTE INCORRECTA! Además, aparecen mensajes en el teléfono, pero no te avisa por vibración, luz o señal acústica que te han llegado nuevos mensajes. Quizás inviertas un poco más en un reloj inteligente.
1.0;No me sirve, no funciona.
1.0;Este fue un segundo reloj que compré ya que el primero no mantendría la vida útil de la batería, pero este resultó exactamente igual, tuve que cargar la batería todas las noches y después de algunas semanas, la batería se negó a cargarse por completo. Aparte de la batería, el reloj es encantador.
1.0;No pude emparejar el reloj inteligente con el teléfono inteligente. El método de devolución es excelente, incluido el reembolso ya recibido. ¡Gracias!
1.0;La verdad que tuve mala suerte con este modelo porque tenemos 4 en la familia y van perfectos.La puntuación tan baja es debido a que la batería duraba 1 día a duras penas y la conexión con iOS no era estable, con esos dos fallos destrozan todo lo demás.Quiero recalcar que ha sido solo con este en concreto, podría haberlo cambiado pero al ser un regalo no me atreví a que volviera a pasar lo mismo.
1.0;Se desconfigura la hora continuamente, la bateria para que dure lo anunciado debes tener el reloj metido en un cajón, en el momento que lo usas ya no cumple con lo esperado
1.0;No pude hacer que funcionara Desperdicio de £ 24
1.0;ya despues de un mes el reloj empezo a dar problemas con la pantalla tactil. A los pocos días murió por completo. Entre otras cosas, la devolución solo es posible durante un mes, por lo que ahora solo puedo usarlo como tope de puerta. no lo compres
1.0;Al principio parece muy bonito, diseño está bien. Pero le falta una multitud de deportes que anuncian en la ficha del producto.La correa malísima, a los meses rota. Por no hablar de que me ha hecho una herida en el brazo, no se si es muy normal.Además, el reloj también me ha quemado la piel. No creo que hay pasado unos estándares de calidad.También, se desconecta mucho y cada dos por tres lo tienes que volver a enlazar, frustante.
1.0;Todo parece estar funcionando bien. Pero BP da la misma lectura 119/74. Todo el tiempo. Y ninguna de las lecturas coincide con una máquina de BP adecuada. ¿Necesito cambiar alguna configuración? De lo contrario, es un contador de pasos glorificado y un reloj barato.
1.0;No me gustó que no funcionara la mayor parte del tiempo que lo tengo puesto. Mi esposo trabaja todo el tiempo pero desafortunadamente el mío no.
1.0;Lo tengo desde hace unos meses y ya no me funciona la frecuencia cardiaca y las demas opciones, solo el tiempo y los pasos. Muy decepcionante
1.0;Es bonito pero no cumple con lo que dicen en el vídeo
1.0;Este reloj duró 2 meses y ahora no se apaga la pantalla a menos que esté cargando. NO VALE EL DINERO.
1.0;Estaba satisfecho.... aparte de la inexactitud del GPS... luego, de repente, la batería ya no tiene carga... la de mi esposa duró aún menos.
1.0;He estado usando esto por poco más de un mes, todo estaba bien hasta que me desperté esta mañana y me había quemado la muñeca. Ahora tengo dos ronchas calientes en el brazo 💀 No tengo alergias tópicas, esto es piel quemada. Y por supuesto, mi ventana de devolución terminó hace un par de días 🙄
1.0;¡Basura absoluta! ¡Se carga, pero no funciona! 😡
1.0;El reloj dejo de funcionar despues de 1 semana de uso.
1.0;Probé el reloj y pensé en probarlo porque otras reseñas eran buenas al respecto. Pero es un reloj de juguete barato... Todas las medidas parecen aleatorias. Comparé la presión arterial con una máquina adecuada para la parte superior del brazo. y, por supuesto, no esperaba números exactos, pero los resultados ni siquiera están en el estadio de béisbol. También estaba revisando el rastreador de sueño, algunas noches han mostrado buenos resultados, pero cuando puse el reloj en el cargador y me fui solo durante una hora comenzó a rastrear mientras dormía... Ni siquiera me di cuenta con los sensores de que no estaba conectado a la muñeca: el monitor de frecuencia cardíaca funcionaba constantemente, por lo que debería saber que no está en la muñeca porque no tiene pulso... .- resistente al agua, pero la natación no es una opción deportiva a seguir...- fui a pedalear con él, arranqué la actividad de bicicleta desde el reloj, pero solo medía el tiempo y la frecuencia cardíaca, no seguía mi ruta, aunque sí estaba conectado a mi teléfono a través de Bluetooth. Ok, pensé que era mi culpa, así que la próxima vez que comencé el seguimiento desde la aplicación, vea las imágenes adjuntas, una es Strava 28.65 km (confío en la aplicación porque la uso constantemente y me da los resultados adecuados todo el tiempo), segunda imagen es la aplicación propia del reloj VeryFitPro 82.87km!!!!!! ni siquiera cerca, además de que faltan algunas partes de la ruta incluso en el mapa. No malgastes tu dinero en este producto, es algo falso y barato...
1.0;Me gusto el reloj, pero solmete me duro un mes, dejo de funcionar de repente y ni cargaba ni nada, el vendedor me reembolso el dinero.
1.0;El reloj supuestamente un poco resistente al agua resiste al menos una ducha a un plato a una ligera inmersión cuando en realidad me duché y es hs... Así que duración total de uso 24 horas fuera que ella es muy buena excepto que debería tener resistió al menos la ducha que estuvo sin embargo no mucho la estoy dejando secar a ver si vuelve a la vida pero no me lo creo.....
1.0;Pongo una estrella basicamente porque es imposible montar las correas, ni lo e provado, una basura
1.0;La duración de la batería es horrible. Los pasos realizados anteriormente desaparecen. Uno de los peores relojes inteligentes que he tenido con total honestidad. Estoy decepcionado. También dejó de contar pasos. Todo inútil y una pérdida de dinero muy infeliz.
1.0;Estaba despierto en violeta claro 💜 me levanté y me duché a las 6, salí de la casa 711, en el trabajo 722 desayuné y el primer paciente 730 caminó al menos media milla antes de 830 🤨 chupa el grande. piel irritada no use 24 horas. no compre esto El software necesita ser ajustado. PA no precisa.
1.0;Al tercer día se mojó y dejó de verse la pantalla. Peor imposible
1.0;no es confiable mide los mismos valores en 30 sujetos diferentes obviamente actualizando para el sujeto que lo lleva pero el tiempo util para la devolucion ha expirado
1.0;Lo tengo desde marzo de este año y ya no se me enchufa.
1.0;Las aplicaciones y los rastreadores son realmente buenos, pero la duración de la batería es absolutamente terrible. Cayó un 11 % mientras dormía y dura un máximo de 3 días antes de tener que volver a cargarla. He tenido más baratos que duran más!!!
1.0;Problema de visualización de dos meses de uso. Aparentemente no fue solo mío, otros compradores se quejan del mismo problema.
1.0;Comprado en junio. El reloj dejo de funcionar en julio despues de estar en el agua. Sin embargo, se indica claramente que es resistente al agua. Desaconsejo esta compra.
1.0;Honestamente, este es el peor reloj deportivo que he tenido. No cuenta pasos. Estuve de pie en casa durante mucho tiempo y no se registró. ¡Luego hice una caminata corta que normalmente promedia alrededor de 2500 pasos y el reloj registró 45! No es la pantalla más fácil de recorrer en los momentos en que se desliza y no se mueve, por lo que puede ser un poco frustrante. Definitivamente regresando
1.0;La esfera se oscureció por completo al cabo de unos meses... Muy desaconsejado
1.0;El contador de pasos se rompió después de 3 semanas. Muy mal, el contador de pasos no funciona, quiero un reembolso por favor
1.0;Buen producto y buena duracion de bateria me parecio un buen smartwatch nunca entonces corregí la reseña ya que lo compre a finales de octubre y principios de marzo ya no funciona el boton lateral gracias a amazon que como siempre tiene interno
1.0;Recibí ayer Desde la mañana salí, corrí, caminé en mi casa y los pasos no son los correctos Se nota menos Normalmente soy clientes, todos los días ordeno algo, no me gusta dejar malas críticas, pero por esto puedo decir que es un desperdicio de dinero me gustaría volver Gracias
1.0;Muy decepcionado con la calidad de la carcasa Rasguños muy rápidos en la pantalla. No recomiendo en absoluto.
1.0;¡Esto es terriblemente malo! No registra con precisión los pasos... ¡caminó al menos 3 millas hoy y registró 543 pasos! Mi reloj nunca me ha dado frecuencia cardíaca, presión arterial o estadísticas de sueño. Tan decepcionante. ¡No compre!
1.0;Después de la actualización, el reloj ya no se puede iniciar, inutilizable
1.0;Lo compre en agosto y en octubre ya no funciona, voy a la web porque esta en garantia y no aparece ningun sitio donde reclamar
1.0;Estaba ansioso por el teléfono inteligente Glory Fit, muy decepcionado, he estado luchando para configurarlo todo, intenté muchas veces, fui a u tube para seguir las instrucciones, fue un fracaso.
